%
%
% Run:009   Table:buoys             SWASH version: 7.01
%
%       Tsec          Watlev        Vmag     
%       [s]           [m]           [m/s]    
%
  32700.00586       -1.0505      0.055108 
  32700.00586       -1.0746      0.033411 
  32700.00586       -1.0773      0.000000 
  33000.00391       -0.9972      0.008680 
  33000.00391       -1.0541      0.017829 
  33000.00391       -1.0890      0.018101 
  33000.00391       -1.1031      0.000000 
  33300.00391       -0.9922      0.040683 
  33300.00391       -1.0414      0.026143 
  33300.00391       -1.0891      0.010459 
  33300.00391       -1.1085      0.000000 
  33600.00391       -0.9854      0.078892 
  33600.00391       -1.0280      0.069535 
  33600.00391       -1.0686      0.043170 
  33600.00391       -1.0861      0.000000 
  33900.00391       -0.9769      0.117441 
  33900.00391       -1.0136      0.100662 
  33900.00391       -1.0313      0.063855 
  33900.00391       -1.0383      0.000000 
  34200.00391       -0.9663      0.148772 
  34200.00391       -0.9850      0.117812 
  34200.00391       -0.9868      0.065041 
  34200.00391       -0.9796      0.000000 
  34500.00391       -0.9536      0.155371 
  34500.00391       -0.9443      0.120074 
  34500.00391       -0.9349      0.057362 
  34500.00391       -0.9319      0.000000 
  34800.00391       -0.9391      0.135370 
  34800.00391       -0.9034      0.101788 
  34800.00391       -0.8875      0.054322 
  34800.00391       -0.8878      0.000000 
  35100.00391       -0.9231      0.093448 
  35100.00391       -0.8773      0.073415 
  35100.00391       -0.8516      0.045955 
  35100.00391       -0.8421      0.000000 
  35400.00391       -0.9058      0.052889 
  35400.00391       -0.8661      0.039313 
  35400.00391       -0.8273      0.023301 
  35400.00391       -0.8101      0.000000 
  35700.00391       -0.8866      0.026171 
  35700.00391       -0.8550      0.002818 
  35700.00391       -0.8186      0.004828 
  35700.00391       -0.8036      0.000000 
  36000.00391       -0.8656      0.000318 
  36000.00391       -0.8397      0.021858 
  36000.00391       -0.8261      0.023804 
  36000.00391       -0.8188      0.000000 
  36300.00391       -0.8432      0.019931 
  36300.00391       -0.8339      0.031770 
  36300.00391       -0.8375      0.023429 
  36300.00391       -0.8453      0.000000 
  36600.00391       -0.8195      0.016119 
  36600.00391       -0.8378      0.027236 
  36600.00391       -0.8524      0.011817 
  36600.00391       -0.8593      0.000000 
  36900.00391       -0.7941      0.015122 
  36900.00391       -0.8391      0.002903 
  36900.00391       -0.8616      0.003637 
  36900.00391       -0.8631      0.000000 
  37200.00391       -0.7670      0.066521 
  37200.00391       -0.8234      0.034158 
  37200.00391       -0.8552      0.007594 
  37200.00391       -0.8655      0.000000 
  37500.00391       -0.7381      0.119860 
  37500.00391       -0.7890      0.075455 
  37500.00391       -0.8332      0.033476 
  37500.00391       -0.8528      0.000000 
  37800.00391       -0.7077      0.158719 
  37800.00391       -0.7494      0.119644 
  37800.00391       -0.7931      0.065970 
  37800.00391       -0.8107      0.000000 
  38100.00391       -0.6762      0.194274 
  38100.00391       -0.7117      0.153158 
  38100.00391       -0.7328      0.090067 
  38100.00391       -0.7423      0.000000 
  38400.00391       -0.6432      0.225790 
  38400.00391       -0.6629      0.171001 
  38400.00391       -0.6638      0.094143 
  38400.00391       -0.6582      0.000000 
  38700.00391       -0.6086      0.234897 
  38700.00391       -0.5997      0.173223 
  38700.00391       -0.5890      0.085351 
  38700.00391       -0.5821      0.000000 
  39000.00391       -0.5730      0.213616 
  39000.00391       -0.5350      0.155589 
  39000.00391       -0.5158      0.078849 
  39000.00391       -0.5154      0.000000 
  39300.00391       -0.5364      0.169686 
  39300.00391       -0.4844      0.122897 
  39300.00391       -0.4563      0.070574 
  39300.00391       -0.4476      0.000000 
  39600.00391       -0.4993      0.120698 
  39600.00391       -0.4520      0.085658 
  39600.00391       -0.4109      0.047380 
  39600.00391       -0.3924      0.000000 
  39900.00391       -0.4613      0.086967 
  39900.00391       -0.4238      0.044889 
  39900.00391       -0.3823      0.016808 
  39900.00391       -0.3655      0.000000 
  40200.00391       -0.4221      0.057305 
  40200.00391       -0.3915      0.014874 
  40200.00391       -0.3728      0.005310 
  40200.00391       -0.3643      0.000000 
  40500.00391       -0.3824      0.032167 
  40500.00391       -0.3684      0.001751 
  40500.00391       -0.3708      0.007490 
  40500.00391       -0.3764      0.000000 
  40800.00391       -0.3423      0.031479 
  40800.00391       -0.3581      0.004594 
  40800.00391       -0.3713      0.003248 
  40800.00391       -0.3793      0.000000 
  41100.00391       -0.3014      0.061416 
  41100.00391       -0.3455      0.027259 
  41100.00391       -0.3681      0.012091 
  41100.00391       -0.3695      0.000000 
  41400.00391       -0.2598      0.111449 
  41400.00391       -0.3159      0.065062 
  41400.00391       -0.3481      0.023111 
  41400.00391       -0.3583      0.000000 
  41700.00391       -0.2172      0.163962 
  41700.00391       -0.2669      0.106472 
  41700.00391       -0.3111      0.049523 
  41700.00391       -0.3313      0.000000 
  42000.00391       -0.1742      0.201152 
  42000.00391       -0.2133      0.149476 
  42000.00391       -0.2551      0.082266 
  42000.00391       -0.2722      0.000000 
  42300.00391       -0.1311      0.233274 
  42300.00391       -0.1619      0.180670 
  42300.00391       -0.1789      0.103925 
  42300.00391       -0.1855      0.000000 
  42600.00391       -0.0874      0.259351 
  42600.00391       -0.0992      0.193580 
  42600.00391       -0.0939      0.104406 
  42600.00391       -0.0867      0.000000 
  42900.00391       -0.0433      0.258873 
  42900.00391       -0.0225      0.188701 
  42900.00391       -0.0062      0.092855 
  42900.00391        0.0019      0.000000 
  43200.00391        0.0008      0.225261 
  43200.00391        0.0508      0.162922 
  43200.00391        0.0766      0.083750 
  43200.00391        0.0788      0.000000 
  43500.00391        0.0446      0.170939 
  43500.00391        0.1050      0.122490 
  43500.00391        0.1411      0.070545 
  43500.00391        0.1539      0.000000 
  43800.00391        0.0879      0.116923 
  43800.00391        0.1399      0.078607 
  43800.00391        0.1876      0.041242 
  43800.00391        0.2090      0.000000 
  44100.00391        0.1311      0.079251 
  44100.00391        0.1722      0.034533 
  44100.00391        0.2130      0.008440 
  44100.00391        0.2294      0.000000 
  44400.00391        0.1742      0.045308 
  44400.00391        0.2050      0.005555 
  44400.00391        0.2184      0.010058 
  44400.00391        0.2232      0.000000 
  44700.00391        0.2166      0.022407 
  44700.00391        0.2236      0.004017 
  44700.00391        0.2171      0.007411 
  44700.00391        0.2093      0.000000 
  45000.00391        0.2584      0.031391 
  45000.00391        0.2311      0.004995 
  45000.00391        0.2146      0.003946 
  45000.00391        0.2086      0.000000 
  45300.00391        0.2999      0.071021 
  45300.00391        0.2478      0.034937 
  45300.00391        0.2206      0.012575 
  45300.00391        0.2178      0.000000 
  45600.00391        0.3411      0.124472 
  45600.00391        0.2853      0.076483 
  45600.00391        0.2468      0.029351 
  45600.00391        0.2309      0.000000 
  45900.00391        0.3820      0.171171 
  45900.00391        0.3377      0.119181 
  45900.00391        0.2916      0.061472 
  45900.00391        0.2705      0.000000 
  46200.00391        0.4221      0.202412 
  46200.00391        0.3888      0.158069 
  46200.00391        0.3577      0.090972 
  46200.00391        0.3455      0.000000 
  46500.00391        0.4613      0.230069 
  46500.00391        0.4417      0.178319 
  46500.00391        0.4403      0.101231 
  46500.00391        0.4417      0.000000 
  46800.00391        0.5001      0.240282 
  46800.00391        0.5101      0.178197 
  46800.00391        0.5259      0.091381 
  46800.00391        0.5371      0.000000 
  47100.00391        0.5380      0.214488 
  47100.00391        0.5836      0.157380 
  47100.00391        0.6091      0.077657 
  47100.00391        0.6147      0.000000 
  47400.00391        0.5746      0.159375 
  47400.00391        0.6403      0.116506 
  47400.00391        0.6764      0.065397 
  47400.00391        0.6842      0.000000 
  47700.00391        0.6098      0.096353 
  47700.00391        0.6722      0.067770 
  47700.00391        0.7201      0.040237 
  47700.00391        0.7414      0.000000 
  48000.00391        0.6435      0.046732 
  48000.00391        0.6922      0.019405 
  48000.00391        0.7415      0.003660 
  48000.00391        0.7623      0.000000 
  48300.00391        0.6762      0.009873 
  48300.00391        0.7133      0.019494 
  48300.00391        0.7385      0.022490 
  48300.00391        0.7476      0.000000 
  48600.00391        0.7075      0.021031 
  48600.00391        0.7243      0.035703 
  48600.00391        0.7218      0.026705 
  48600.00391        0.7176      0.000000 
  48900.00391        0.7370      0.022849 
  48900.00391        0.7183      0.031898 
  48900.00391        0.7038      0.015704 
  48900.00391        0.6950      0.000000 
  49200.00391        0.7652      0.011141 
  49200.00391        0.7160      0.006459 
  49200.00391        0.6905      0.005474 
  49200.00391        0.6877      0.000000 
  49500.00391        0.7924      0.063952 
  49500.00391        0.7342      0.034971 
  49500.00391        0.6969      0.008503 
  49500.00391        0.6847      0.000000 
  49800.00391        0.8184      0.113799 
  49800.00391        0.7707      0.078756 
  49800.00391        0.7248      0.038250 
  49800.00391        0.7026      0.000000 
  50100.00391        0.8429      0.147276 
  50100.00391        0.8089      0.118380 
  50100.00391        0.7732      0.070340 
  50100.00391        0.7588      0.000000 
  50400.00391        0.8656      0.172127 
  50400.00391        0.8455      0.141827 
  50400.00391        0.8404      0.083603 
  50400.00391        0.8404      0.000000 
  50700.00391        0.8871      0.183657 
  50700.00391        0.8951      0.141442 
  50700.00391        0.9124      0.075057 
  50700.00391        0.9231      0.000000 
  51000.00391        0.9071      0.158504 
  51000.00391        0.9528      0.120286 
  51000.00391        0.9793      0.058839 
  51000.00391        0.9880      0.000000 
  51300.00391        0.9250      0.100970 
  51300.00391        0.9935      0.078152 
  51300.00391        1.0314      0.044716 
  51300.00391        1.0384      0.000000 
  51600.00391        0.9408      0.034207 
  51600.00391        1.0076      0.026147 
  51600.00391        1.0565      0.020183 
  51600.00391        1.0772      0.000000 
  51900.00391        0.9545      0.020125 
  51900.00391        1.0062      0.024125 
  51900.00391        1.0571      0.017172 
  51900.00391        1.0793      0.000000 
  52200.00391        0.9665      0.058648 
  52200.00391        1.0045      0.064906 
  52200.00391        1.0325      0.045219 
  52200.00391        1.0423      0.000000 
  52500.00391        0.9767      0.089214 
  52500.00391        0.9939      0.082620 
  52500.00391        0.9921      0.050545 
  52500.00391        0.9885      0.000000 
  52800.00391        0.9845      0.092232 
  52800.00391        0.9662      0.077941 
  52800.00391        0.9504      0.039625 
  52800.00391        0.9414      0.000000 
  53100.00391        0.9906      0.057637 
  53100.00391        0.9406      0.052377 
  53100.00391        0.9148      0.027890 
  53100.00391        0.9104      0.000000 
  53400.00391        0.9953      0.004232 
  53400.00391        0.9364      0.010249 
  53400.00391        0.8981      0.013475 
  53400.00391        0.8870      0.000000 
  53700.00391        0.9983      0.045436 
  53700.00391        0.9503      0.034162 
  53700.00391        0.9051      0.015622 
  53700.00391        0.8827      0.000000 
  54000.00391        0.9996      0.078856 
  54000.00391        0.9667      0.072384 
  54000.00391        0.9319      0.047456 
  54000.00391        0.9177      0.000000 
  54300.00391        0.9987      0.100951 
  54300.00391        0.9811      0.094681 
  54300.00391        0.9769      0.059734 
  54300.00391        0.9775      0.000000 
  54600.00391        0.9963      0.109302 
  54600.00391        1.0071      0.091936 
  54600.00391        1.0262      0.050458 
  54600.00391        1.0367      0.000000 
  54900.00391        0.9923      0.081364 
  54900.00391        1.0402      0.068243 
  54900.00391        1.0682      0.033183 
  54900.00391        1.0778      0.000000 
  55200.00391        0.9860      0.021563 
  55200.00391        1.0555      0.024884 
  55200.00391        1.0943      0.017510 
  55200.00391        1.1022      0.000000 
  55500.00391        0.9774      0.045273 
  55500.00391        1.0439      0.027933 
  55500.00391        1.0931      0.007314 
  55500.00391        1.1130      0.000000 
  55800.00391        0.9667      0.098803 
  55800.00391        1.0173      0.077494 
  55800.00391        1.0663      0.043865 
