%
%
% Run:002   Table:buoys             SWASH version: 7.01
%
%       Tsec          Watlev   
%       [s]           [m]      
%
  96600.00781        0.9884 
  96600.00781        0.9808 
  96600.00781        0.9744 
  96600.00781        0.9701 
  96600.00781        0.9686 
  97200.00781        1.0001 
  97200.00781        1.0026 
  97200.00781        1.0046 
  97200.00781        1.0061 
  97200.00781        1.0069 
  97200.00781        1.0072 
  97800.00781        0.9965 
  97800.00781        1.0101 
  97800.00781        1.0220 
  97800.00781        1.0315 
  97800.00781        1.0376 
  97800.00781        1.0397 
  98400.00781        0.9853 
  98400.00781        1.0024 
  98400.00781        1.0172 
  98400.00781        1.0285 
  98400.00781        1.0356 
  98400.00781        1.0380 
  99000.00781        0.9662 
  99000.00781        0.9760 
  99000.00781        0.9844 
  99000.00781        0.9908 
  99000.00781        0.9947 
  99000.00781        0.9959 
  99600.00781        0.9396 
  99600.00781        0.9373 
  99600.00781        0.9350 
  99600.00781        0.9332 
  99600.00781        0.9322 
  99600.00781        0.9319 
 100200.00781        0.9061 
 100200.00781        0.8967 
 100200.00781        0.8878 
 100200.00781        0.8805 
 100200.00781        0.8757 
 100200.00781        0.8740 
 100800.00781        0.8659 
 100800.00781        0.8591 
 100800.00781        0.8524 
 100800.00781        0.8467 
 100800.00781        0.8428 
 100800.00781        0.8414 
 101400.00781        0.8192 
 101400.00781        0.8221 
 101400.00781        0.8244 
 101400.00781        0.8263 
 101400.00781        0.8275 
 101400.00781        0.8279 
 102000.00781        0.7664 
 102000.00781        0.7793 
 102000.00781        0.7905 
 102000.00781        0.7994 
 102000.00781        0.8050 
 102000.00781        0.8069 
 102600.00781        0.7075 
